ENTITYID,SKU,NAME,IMAGE,UPC,STATUS,QTY,MSRP,MSWP,PRICE,WEIGHT,BARCODES
345,207,"Aspire K3 Kit - Pink",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/2/0/207_1.jpg,,1,30,37.4900,25.0000,19,0.4000,
347,205,"Aspire K4 Kit - Pink",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/2/0/205_1.jpg,,1,52,49.9900,32.5000,25,0.5250,
349,512,"Aspire Cleito Coils 0.27 ohm (40-55W)",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/5/1/512_1.jpg,,1,175,17.6000,12.1000,10.45,0.1500,
350,314,"Aspire Cleito Tank - Rose Gold",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/3/1/314.jpg,,1,62,23.0000,15.0000,13.5,0.2375,
352,219,"Aspire PockeX Pocket AIO - Black",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/b/l/black-pockex-front_1.jpg,,1,192,29.9900,17.5000,12.5,0.3875,
353,221,"Aspire PockeX Pocket AIO - Rose Gold",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/r/o/rose-front-pockex_1.jpg,,1,293,29.9900,17.5000,12.5,0.3875,
354,220,"Aspire PockeX Pocket AIO - White",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/w/h/white-front-pockex_1.jpg,,1,0,29.9900,17.5000,12.5,0.3875,
355,218,"Aspire PockeX Pocket AIO - Stainless Steel",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/s/i/silver-front-pockex_1.jpg,,1,275,29.9900,17.5000,12.5,0.3875,
356,509,"Aspire PockeX Coil 0.6 ohm (18-23W)",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/5/0/509_1.jpg,,1,1000,14.9900,9.9000,8.25,0.1063,
358,515,"Aspire Cleito 120 RTA System",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/5/1/515_1.jpg,,1,93,14.0000,10.0000,8.5,0.0750,
359,861,"Tshirt N1 Small",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/t/-/t-shirt_no1_4.jpg,,2,0,,10.0000,0,0.3800,
360,862,"Tshirt N1 Medium",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/t/-/t-shirt_no1_3.jpg,,2,0,,0.0000,0,0.3800,
361,863,"Tshirt N1 Large",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/t/-/t-shirt_no1_2.jpg,,2,0,,0.0000,0,0.3800,
